subject,list,item,list_type,category,intrusion,position,trial_type
51,6,White House,light,loc,0,5.0,recall
51,6,Angelina Jolie,light,cel,0,6.0,recall
51,6,Lisa Kudrow,light,cel,0,7.0,recall
51,6,Eminem,light,cel,0,8.0,recall
51,6,fireplace,light,obj,0,9.0,recall
51,6,water gun,light,obj,0,10.0,recall
51,6,feather,light,obj,0,11.0,recall
51,6,tire,light,obj,0,12.0,recall
51,6,Keira Knightley,light,cel,0,13.0,recall
51,6,Jessica Simpson,light,cel,0,14.0,recall
51,6,Britney Spears,light,cel,0,15.0,recall
51,6,saucepan,light,obj,0,16.0,recall
51,6,bottle,light,obj,0,17.0,recall
51,6,Giza Pyramids,light,loc,0,18.0,recall
51,6,Stonehenge,light,loc,0,19.0,recall
51,6,skateboard,light,obj,1,20.0,recall
51,6,Meryl Streep,light,cel,0,21.0,recall
51,7,Brad Pitt,heavy,cel,[],1.0,study
51,7,Orlando Bloom,heavy,cel,[],2.0,study
51,7,Kristen Stewart,heavy,cel,[],3.0,study
51,7,cactus,heavy,obj,[],4.0,study
51,7,tent,heavy,obj,[],5.0,study
51,7,brick,heavy,obj,[],6.0,study
51,7,Kyoto,heavy,loc,[],7.0,study
51,7,Space Needle,heavy,loc,[],8.0,study
51,7,San Francisco,heavy,loc,[],9.0,study
51,7,Drew Barrymore,heavy,cel,[],10.0,study
51,7,Madonna,heavy,cel,[],11.0,study
51,7,Snoop Dogg,heavy,cel,[],12.0,study
51,7,Delphi,heavy,loc,[],13.0,study
51,7,United Nations Building,heavy,loc,[],14.0,study
51,7,Petra,heavy,loc,[],15.0,study
51,7,globe,heavy,obj,[],16.0,study
51,7,keychain,heavy,obj,[],17.0,study
51,7,purse,heavy,obj,[],18.0,study
51,7,Beyonce Knowles,heavy,cel,[],19.0,study
51,7,George Clooney,heavy,cel,[],20.0,study
51,7,Justin Bieber,heavy,cel,[],21.0,study
51,7,cradle,heavy,obj,[],22.0,study
51,7,box,heavy,obj,[],23.0,study
51,7,projector,heavy,obj,[],24.0,study
51,7,Serengeti Plain,heavy,loc,[],25.0,study
51,7,Tower of Pisa,heavy,loc,[],26.0,study
51,7,Gettysburg,heavy,loc,[],27.0,study
51,7,Beyonce Knowles,heavy,cel,0,1.0,recall
51,7,Tower of Pisa,heavy,loc,0,2.0,recall
51,7,Justin Bieber,heavy,cel,0,3.0,recall
51,7,cradle,heavy,obj,0,4.0,recall
51,7,Serengeti Plain,heavy,loc,0,5.0,recall
51,7,Space Needle,heavy,loc,0,6.0,recall
51,7,San Francisco,heavy,loc,0,7.0,recall
51,7,Snoop Dogg,heavy,cel,0,8.0,recall
51,7,Madonna,heavy,cel,0,9.0,recall
51,7,George Clooney,heavy,cel,0,10.0,recall
51,7,Brad Pitt,heavy,cel,0,11.0,recall
51,7,Orlando Bloom,heavy,cel,0,12.0,recall
51,8,Pompeii,light,loc,[],1.0,study
51,8,Bunker Hill,light,loc,[],2.0,study
51,8,Mecca,light,loc,[],3.0,study
51,8,Mariah Carey,light,cel,[],4.0,study
51,8,Amy Poehler,light,cel,[],5.0,study
51,8,Taylor Swift,light,cel,[],6.0,study
51,8,hanger,light,obj,[],7.0,study
51,8,bowling ball,light,obj,[],8.0,study
51,8,backpack,light,obj,[],9.0,study
51,8,Julianne Moore,light,cel,[],10.0,study
51,8,Owen Wilson,light,cel,[],11.0,study
51,8,Halle Berry,light,cel,[],12.0,study
51,8,satellite dish,light,obj,[],13.0,study
51,8,helmet,light,obj,[],14.0,study
51,8,mango,light,obj,[],15.0,study
51,8,Sistine Chapel,light,loc,[],16.0,study
51,8,Amazon River,light,loc,[],17.0,study
